,Company,ESG score,Clean200,ScienceBasedTargets,Country,Symbol NQ,Symbol NYSE,Symbol NQ_North
4, 58.com Inc ,6,0.0,0.0,na,na,WUBA,na
8, AAK AB ,18,0.0,0.0,na,na,na,AAK
12, ABB Ltd ,44,1.0,1.0,Switzerland,na,ABB,ABB
13, Abbott Laboratories ,85,0.0,0.0,na,na,DLB,na
14, AbbVie Inc ,76,0.0,0.0,na,na,ABBV,na
21, Accenture PLC ,54,1.0,1.0,Ireland,na,ACN,na
40, Adobe Inc ,67,0.0,0.0,na,ADBE,na,na
41, Adtalem Global Education Inc ,15,0.0,0.0,na,na,ATGE,na
42, Advance Auto Parts Inc ,12,0.0,0.0,na,na,AAP,na
45, Advanced Micro Devices Inc ,32,0.0,1.0,United States of America (USA),AMD,na,na
49, AECOM ,18,0.0,1.0,United States of America (USA),na,ACM,na
50, Aegon NV ,45,0.0,0.0,na,na,AEG,na
57, Affiliated Managers Group Inc ,34,0.0,0.0,na,na,MGR,na
58, Aflac Inc ,42,0.0,0.0,na,na,AFL,na
61, AGCO Corp ,12,0.0,0.0,na,na,AGCO,na
68, Agnico Eagle Mines Ltd ,38,0.0,0.0,na,na,AEM,na
78, Air Lease Corp ,9,0.0,0.0,na,na,AL^A,na
92, Alaska Air Group Inc ,56,0.0,0.0,na,na,ALK,na
93, Albemarle Corp ,22,0.0,0.0,na,na,ALB,na
94, Alcoa Corp ,67,0.0,0.0,na,na,AA,na
98, Alfa Laval AB ,28,0.0,0.0,na,na,na,ALFA
101, Algonquin Power & Utilities Corp ,40,0.0,0.0,na,na,AQNB,na
109, Alkermes PLC ,14,0.0,0.0,na,ALKS,na,na
110, Alleghany Corp ,9,0.0,0.0,na,na,Y,na
111, Allegion PLC ,14,0.0,0.0,na,na,ALLE,na
112, Allergan PLC ,56,0.0,0.0,na,na,AGN,na
113, Alliance Data Systems Corp ,30,0.0,0.0,na,na,ADS,na
116, Allison Transmission Holdings Inc ,10,0.0,0.0,na,na,ALSN,na
118, Ally Financial Inc ,19,0.0,0.0,na,na,ALLY^A,na
124, Alphabet Inc ,38,1.0,0.0,na,GOOGL,na,na
138, Ambev SA ,31,0.0,1.0,Brazil,na,ABEV,na
139, Ambu A/S ,14,0.0,0.0,na,na,na,AMBU B
141, Amcor PLC ,64,1.0,0.0,na,na,AMCR,na
142, Amdocs Ltd ,48,0.0,1.0,United States of America (USA),DOX,na,na
143, Amedisys Inc ,10,0.0,0.0,na,AMED,na,na
145, Ameren Corp ,28,0.0,0.0,na,na,AEE,na
147, American Airlines Group Inc ,30,0.0,0.0,na,AAL,na,na
148, American Campus Communities Inc ,10,0.0,0.0,na,na,ACC,na
149, American Eagle Outfitters Inc ,10,0.0,1.0,United States of America (USA),na,AEO,na
150, American Electric Power Co Inc ,33,0.0,0.0,na,na,AEP^B,na
151, American Express Co ,36,0.0,0.0,na,na,AXP,na
152, American Homes 4 Rent ,5,0.0,0.0,na,na,AMH^H,na
154, American Tower Corp ,18,0.0,0.0,na,na,AMT,na
155, American Water Works Co Inc ,45,0.0,0.0,na,na,AWK,na
156, Ameriprise Financial Inc ,25,0.0,0.0,na,na,AMP,na
159, Amgen Inc ,57,0.0,0.0,na,AMGN,na,na
164, Amphenol Corp ,13,0.0,0.0,na,na,APH,na
173, AngloGold Ashanti Ltd ,69,0.0,0.0,na,na,AU,na
174, Anheuser-Busch InBev SA/NV ,31,0.0,0.0,na,na,BUD,na
176, Annaly Capital Management Inc ,13,0.0,0.0,na,na,NLY^I,na
184, Aon PLC ,20,0.0,0.0,na,na,AON,na
188, Apache Corp ,33,0.0,0.0,na,na,APA,na
192, Apple Hospitality REIT Inc ,7,0.0,0.0,na,na,APLE,na
193, Apple Inc ,29,0.0,0.0,na,AAPL,na,na
195, Aptiv PLC ,49,1.0,0.0,na,na,APTV,na
196, Aramark ,13,0.0,0.0,na,na,ARMK,na
201, ArcelorMittal SA ,52,0.0,0.0,na,na,MT,na
202, Arch Capital Group Ltd ,28,0.0,0.0,na,ACGLP,na,na
203, Archer-Daniels-Midland Co ,66,0.0,0.0,na,na,ADM,na
204, Arconic Inc ,23,0.0,0.0,na,na,ARNC,na
209, Armstrong World Industries Inc ,10,0.0,0.0,na,na,AWI,na
212, Arthur J Gallagher & Co ,24,0.0,0.0,na,na,AJG,na
221, ASGN Inc ,7,0.0,0.0,na,na,ASGN,na
232, Assa Abloy AB ,34,0.0,0.0,na,na,na,ASSA B
236, Assured Guaranty Ltd ,14,0.0,0.0,na,na,AGO^F,na
239, AstraZeneca PLC ,81,0.0,1.0,United Kingdom (UK),na,AZN,AZN
242, AT&T Inc ,72,0.0,1.0,United States of America (USA),na,TBC,na
246, Atlas Copco AB ,36,1.0,0.0,na,na,na,ATCO B
254, Aurora Cannabis Inc ,6,0.0,0.0,na,na,ACB,na
262, Autohome Inc ,6,0.0,0.0,na,na,ATHM,na
263, Autoliv Inc ,23,0.0,0.0,na,na,na,ALIV SDB
264, Automatic Data Processing Inc ,26,0.0,0.0,na,ADP,na,na
271, Avery Dennison Corp ,18,0.0,0.0,na,na,AVY,na
279, Axalta Coating Systems Ltd ,41,0.0,0.0,na,na,AXTA,na
282, Axis Capital Holdings Ltd ,10,0.0,0.0,na,na,AXS^E,na
287, Azul SA ,9,0.0,0.0,na,na,AZUL,na
299, Baker Hughes Co ,34,0.0,0.0,na,na,BKR,na
301, Ball Corp ,74,1.0,1.0,United States of America (USA),na,BLL,na
317, Banco Santander Brasil SA ,29,0.0,0.0,na,na,BSBR,na
318, Banco Santander Chile ,67,0.0,0.0,na,na,BSAC,na
321, Bancolombia SA ,85,0.0,1.0,Colombia,na,CIB,na
333, Bank of America Corp ,78,0.0,0.0,na,TANNZ,PKG,na
339, Bank of Montreal ,71,0.0,0.0,na,BMLP,BMO,na
340, Bank of New York Mellon Corp ,63,0.0,0.0,na,na,BK^C,na
341, Bank of Nova Scotia ,74,0.0,0.0,na,na,BNS,na
344, Bank OZK ,12,0.0,0.0,na,OZK,na,na
354, Barclays PLC ,70,0.0,0.0,na,TAPR,BCS,na
358, Barrick Gold Corp ,79,0.0,0.0,na,GOLD,GOLD,na
362, Bausch Health Cos Inc ,10,0.0,0.0,na,na,BHC,na
372, Becton Dickinson and Co ,54,0.0,0.0,na,na,BDXA,na
383, Berkshire Hathaway Inc ,9,0.0,0.0,na,na,BRK.B,na
386, Best Buy Co Inc ,53,0.0,1.0,United States of America (USA),na,BBY,na
