,Company,ESG score,Clean200,ScienceBasedTargets,Country,Symbol NQ,Symbol NYSE
12, ABB Ltd ,44,1.0,1.0,Switzerland,na,ABB
21, Accenture PLC ,54,1.0,1.0,Ireland,na,ACN
45, Advanced Micro Devices Inc ,32,0.0,1.0,United States of America (USA),AMD,na
49, AECOM ,18,0.0,1.0,United States of America (USA),na,ACM
138, Ambev SA ,31,0.0,1.0,Brazil,na,ABEV
142, Amdocs Ltd ,48,0.0,1.0,United States of America (USA),DOX,na
149, American Eagle Outfitters Inc ,10,0.0,1.0,United States of America (USA),na,AEO
239, AstraZeneca PLC ,81,0.0,1.0,United Kingdom (UK),na,AZN
242, AT&T Inc ,72,0.0,1.0,United States of America (USA),na,TBC
301, Ball Corp ,74,1.0,1.0,United States of America (USA),na,BLL
321, Bancolombia SA ,85,0.0,1.0,Colombia,na,CIB
386, Best Buy Co Inc ,53,0.0,1.0,United States of America (USA),na,BBY
402, Biogen Inc ,83,0.0,1.0,United States of America (USA),BIIB,na
446, British American Tobacco PLC ,83,0.0,1.0,United Kingdom (UK),na,BTI
474, Caesars Entertainment Corp ,53,0.0,1.0,United States of America (USA),CZR,na
482, Canadian National Railway Co ,74,1.0,1.0,Canada,na,CNI
484, Canadian Pacific Railway Ltd ,36,1.0,1.0,Canada,na,CP
693, CNH Industrial NV ,88,0.0,1.0,United Kingdom (UK),na,CNHI
702, Coca-Cola European Partners PLC ,89,0.0,1.0,United Kingdom (UK),na,CCEP
748, Corning Inc ,13,0.0,1.0,United States of America (USA),na,GLW
775, CRH PLC ,80,0.0,1.0,Ireland,na,CRH
787, CSX Corp ,60,1.0,1.0,United States of America (USA),CSX,na
792, Cummins Inc ,75,0.0,1.0,United States of America (USA),na,CMI
795, CVS Health Corp ,72,0.0,1.0,United States of America (USA),na,CVS
835, Dell Technologies Inc ,32,0.0,1.0,United States of America (USA),na,DELL
854, Diageo PLC ,86,0.0,1.0,United Kingdom (UK),na,DEO
918, Ecolab Inc ,71,1.0,1.0,United States of America (USA),na,ECL
992, EPR Properties ,6,0.0,1.0,South Africa,na,EPR^G
1173, GlaxoSmithKline PLC ,90,0.0,1.0,United Kingdom (UK),na,GSK
1326, Hewlett Packard Enterprise Co ,90,1.0,1.0,United States of America (USA),na,HPE
1367, Host Hotels & Resorts Inc ,69,0.0,1.0,United States of America (USA),na,HST
1375, HP Inc ,86,1.0,1.0,United States of America (USA),na,HPQ
