,Company,ESG score,Clean200,ScienceBasedTargets,Country,Symbol NQ
0, 1&1 Drillisch AG ,4,0.0,0.0,na,na
1, 2U Inc ,9,0.0,0.0,na,na
2, 3i Group PLC ,50,0.0,0.0,na,na
3, 51job Inc ,9,0.0,0.0,na,na
4, 58.com Inc ,6,0.0,0.0,na,na
5, a2 Milk Co Ltd ,9,0.0,0.0,na,na
6, A2A SpA ,61,0.0,1.0,Italy,na
7, AAC Technologies Holdings Inc ,25,0.0,0.0,na,na
8, AAK AB ,18,0.0,0.0,na,na
9, Aalberts NV ,52,1.0,0.0,na,na
10, Aaron's Inc ,12,0.0,0.0,na,na
11, Abacus Property Group ,26,0.0,0.0,na,na
12, ABB Ltd ,44,1.0,1.0,Switzerland,na
13, Abbott Laboratories ,85,0.0,0.0,na,na
14, AbbVie Inc ,76,0.0,0.0,na,na
15, ABIOMED Inc ,15,0.0,0.0,na,na
16, ABN AMRO Bank NV ,79,0.0,1.0,Netherlands,na
17, Aboitiz Equity Ventures Inc ,24,0.0,0.0,na,na
18, Aboitiz Power Corp ,23,0.0,0.0,na,na
19, Absa Group Ltd ,57,0.0,0.0,na,na
20, Abu Dhabi Commercial Bank PJSC ,20,0.0,0.0,na,na
21, Accenture PLC ,54,1.0,1.0,Ireland,na
22, Acciona SA ,90,0.0,1.0,Spain,na
23, Accor SA ,48,0.0,1.0,France,na
24, Accton Technology Corp ,14,0.0,0.0,na,na
25, Acer Inc ,87,0.0,0.0,na,na
26, ACI Worldwide Inc ,13,0.0,0.0,na,na
27, Ackermans & van Haaren NV ,13,0.0,0.0,na,na
28, ACS Actividades de Construccion y Servicios SA ,77,0.0,0.0,na,na
29, Activia Properties Inc ,14,0.0,0.0,na,na
30, Activision Blizzard Inc ,13,0.0,0.0,na,na
31, Acuity Brands Inc ,9,1.0,0.0,na,na
32, Adani Ports & Special Economic Zone Ltd ,25,0.0,0.0,na,na
33, Adaro Energy Tbk PT ,7,0.0,0.0,na,na
34, Adecco Group AG ,24,0.0,0.0,na,na
35, Adelaide Brighton Ltd ,17,0.0,0.0,na,na
36, adidas AG ,85,1.0,1.0,Germany,na
37, Aditya Birla Fashion and Retail Ltd ,63,0.0,0.0,na,na
38, Administradora de Fondos de Pensiones Habitat SA ,44,0.0,0.0,na,na
39, Admiral Group PLC ,20,0.0,0.0,na,na
40, Adobe Inc ,67,0.0,0.0,na,ADBE
41, Adtalem Global Education Inc ,15,0.0,0.0,na,na
42, Advance Auto Parts Inc ,12,0.0,0.0,na,na
43, Advance Residence Investment Corp ,34,0.0,0.0,na,na
44, Advanced Info Service PCL ,84,0.0,0.0,na,na
45, Advanced Micro Devices Inc ,32,0.0,1.0,United States of America (USA),AMD
46, Advantech Co Ltd ,22,0.0,0.0,na,na
47, Advantest Corp ,48,0.0,0.0,na,na
48, Adyen NV ,5,0.0,0.0,na,na
49, AECOM ,18,0.0,1.0,United States of America (USA),na
50, Aegon NV ,45,0.0,0.0,na,na
51, Aena SME SA ,33,0.0,0.0,na,na
52, Aeon Co Ltd ,66,0.0,0.0,na,na
53, AerCap Holdings NV ,24,0.0,0.0,na,na
54, Aeroports de Paris ,66,0.0,0.0,na,na
55, AES Corp/VA ,79,0.0,0.0,na,na
56, AES Gener SA ,78,0.0,0.0,na,na
