Company Name,ISIN,Target Qualification,Country,Region,Sector,Status,Date Committed / Target published,About
ACCIONA S.A.,ES0125220311,1.5C,Spain,Europe,Electric Utilities and Energy Related,Targets Set,Dec 2019,"Renewable energy and sustainable infrastructure company ACCIONA commits to reduce absolute scope 1 and 2 GHG emissions 60% by 2030 from a 2017 base year. ACCIONA also commits to reduce absolute scope 3 GHG emissions 47% by 2030 from a 2017 base year, covering emissions from purchased goods and services, capital goods, energy-related activities, upstream transportation and distribution, employee commuting and use of sold products."
Actiam NV,,,Netherlands,Europe,"Banks, Diverse Financials and Insurance",Committed,Apr 2017,
Adobe Systems Inc.,US00724F1012,Well-below 2C,United States of America (USA),North America,Software and Services,Targets Set,Sep 2017,Multinational computer software company Adobe commits to reduce absolute scope 1 and 2 emissions 25% by 2025 from a 2015 base-year.  Adobe also commits to reduce scope 3 business travel emissions per employee 5% by 2025 from 2015 levels and reduce scope 3 Fuel and Energy Related Emissions per square foot by 15% over the same time period for its owned and managed facilities.
"Advanced Micro Devices, Inc",US0079031078,Well-below 2C,United States of America (USA),North America,Semiconductors and Semiconductors Equipment,Targets Set,Jun 2016,"Multinational semiconductor company AMD commits to reduce  scope 1 and 2 emissions 20% by 2020 from a 2014 base-year.  AMD also commits to improve the compute performance per watt of energy consumed by their mobile APU processors by 2500% by 2020 from a 2014 base-year. AMD also has a goal for suppliers’ wafer foundry scope 1 emissions to stay 30% below the Semiconductor Industry Association average, and for wafer foundry electricity use to stay 40% below the industry average, using a normalized manufacturing index"
AkzoNobel,US0101993055,,Netherlands,Europe,Chemicals,Committed,Jan 2017,
Altarea Cogedim,FR0000033219,,France,Europe,Real Estate,Committed,Apr 2016,
AstraZeneca,GB0009895292,1.5C,United Kingdom (UK),Europe,Pharmaceuticals and Biotech,Targets Set,Oct 2016,"Multinational pharmaceutical and biopharmaceutical company AstraZeneca commits to reduce absolute scope 1 emissions 20% and scope 2 emissions 95% from 2015 - 2025. In addition, the company will reduce all scope 3 emissions 25% per million USD of sales within the same timeframe.

To support the achievement of the Scope 3 intensity target the company set the following sub-goals: 1) reduce GHG emissions from waste incineration, business air travel, freight &amp; logistics and first tier active pharmaceutical ingredients and formulation &amp; packaging suppliers (&gt;90% of category spend, energy only) 20% by 2025 from a 2015 base-year, 2) reduce GHG emissions per device from patient use of inhaler therapy devices over the same time period and 3) improve primary data collection within Scope 3 value chain greenhouse gas accounting by 2020."
Atea,NO0004822503,Well-below 2C,Norway,Europe,Software and Services,Targets Set,Jul 2018,"Nordic IT infrastructure company ATEA ASA commits to reduce absolute Scope 1 and 2 GHG emissions 43% by 2030 from a 2015 base-year. In addition, ATEA ASA commits to reduce absolute Scope 3 GHG emissions 43% by 2030 from a 2015 base-year."
Atos SE,FR0000051732,2C,France,Europe,Software and Services,Targets Set,Oct 2017,"European IT services corporation Atos SE commits to reduce its GHG emissions from scopes 1, 2 and 3 (upstream leased assets and business travel) per unit of value added 37% by 2021 and 86% by 2050, from a 2012 base-year. The company also commits to reduce its scope 3 emissions from purchased goods and services and capital goods 26% by 2021 and 84% by 2050, from a 2015 base-year."
Auckland Airport,NZAIAE0002S6,2C,New Zealand,Oceania,Air Transportation - Airport Services,Targets Set,Nov 2017,"New Zealand airport, Auckland Airport commits to reduce scope 1 and 2 greenhouse gas emissions 45% per m2 by 2025 from a 2012 base-year."
