,Unnamed: 0,Company,ESG score,Clean200,ScienceBasedTargets,Country,Symbol NQ,Symbol NYSE,Symbol NQ North
12,12, ABB Ltd ,44,1.0,1.0,Switzerland,na,ABB,ABB
21,21, Accenture PLC ,54,1.0,1.0,Ireland,na,ACN,na
45,45, Advanced Micro Devices Inc ,32,0.0,1.0,United States of America (USA),AMD,na,na
49,49, AECOM ,18,0.0,1.0,United States of America (USA),na,ACM,na
138,138, Ambev SA ,31,0.0,1.0,Brazil,na,ABEV,na
142,142, Amdocs Ltd ,48,0.0,1.0,United States of America (USA),DOX,na,na
149,149, American Eagle Outfitters Inc ,10,0.0,1.0,United States of America (USA),na,AEO,na
239,239, AstraZeneca PLC ,81,0.0,1.0,United Kingdom (UK),na,AZN,AZN
242,242, AT&T Inc ,72,0.0,1.0,United States of America (USA),na,TBC,na
301,301, Ball Corp ,74,1.0,1.0,United States of America (USA),na,BLL,na
321,321, Bancolombia SA ,85,0.0,1.0,Colombia,na,CIB,na
386,386, Best Buy Co Inc ,53,0.0,1.0,United States of America (USA),na,BBY,na
402,402, Biogen Inc ,83,0.0,1.0,United States of America (USA),BIIB,na,na
446,446, British American Tobacco PLC ,83,0.0,1.0,United Kingdom (UK),na,BTI,na
474,474, Caesars Entertainment Corp ,53,0.0,1.0,United States of America (USA),CZR,na,na
482,482, Canadian National Railway Co ,74,1.0,1.0,Canada,na,CNI,na
484,484, Canadian Pacific Railway Ltd ,36,1.0,1.0,Canada,na,CP,na
502,502, Carlsberg A/S ,27,0.0,1.0,Denmark,na,na,CARL B
511,511, Castellum AB ,79,0.0,1.0,Sweden,na,na,CAST
693,693, CNH Industrial NV ,88,0.0,1.0,United Kingdom (UK),na,CNHI,na
702,702, Coca-Cola European Partners PLC ,89,0.0,1.0,United Kingdom (UK),na,CCEP,na
748,748, Corning Inc ,13,0.0,1.0,United States of America (USA),na,GLW,na
775,775, CRH PLC ,80,0.0,1.0,Ireland,na,CRH,na
787,787, CSX Corp ,60,1.0,1.0,United States of America (USA),CSX,na,na
792,792, Cummins Inc ,75,0.0,1.0,United States of America (USA),na,CMI,na
795,795, CVS Health Corp ,72,0.0,1.0,United States of America (USA),na,CVS,na
835,835, Dell Technologies Inc ,32,0.0,1.0,United States of America (USA),na,DELL,na
854,854, Diageo PLC ,86,0.0,1.0,United Kingdom (UK),na,DEO,na
894,894, DSV PANALPINA A/S ,29,0.0,1.0,Denmark,na,na,DSV
918,918, Ecolab Inc ,71,1.0,1.0,United States of America (USA),na,ECL,na
