Company,ESG score,Clean200,ScienceBasedTargets,Country,Symbol NQ,Symbol NYSE,Symbol NQ North,Beta,Dividend yield,P/E
 ABB Ltd ,0.44,1.0,1.0,Switzerland,na,ABB,ABB,1.1495440000000001,3.02,25.985073
 Abbott Laboratories ,0.85,0.0,0.0,na,na,DLB,na,0.880157,1.05,29.787233
 AbbVie Inc ,0.76,0.0,0.0,na,na,ABBV,na,0.814669,3.85,15.831438
 Accenture PLC ,0.54,1.0,1.0,Ireland,na,ACN,na,1.037328,1.79,22.891064
 Advance Auto Parts Inc ,0.12,0.0,0.0,na,na,AAP,na,1.0779299999999998,0.17,17.191519
 Aegon NV ,0.45,0.0,0.0,na,na,AEG,na,1.4395129999999998,5.86,2.1611722
 Aflac Inc ,0.42,0.0,0.0,na,na,AFL,na,0.939751,2.26,8.191874499999999
 AGCO Corp ,0.12,0.0,0.0,na,na,AGCO,na,1.13425,0.91,30.521472999999997
 Agnico Eagle Mines Ltd ,0.38,0.0,0.0,na,na,AEM,na,0.237066,0.97,30.608040000000003
 Alaska Air Group Inc ,0.56,0.0,0.0,na,na,ALK,na,1.5363449999999998,1.6800000000000002,4.52504
 Albemarle Corp ,0.22,0.0,0.0,na,na,ALB,na,1.5330709999999999,1.64,12.256972
 Allegion PLC ,0.14,0.0,0.0,na,na,ALLE,na,1.2979690000000002,0.77,28.129915000000004
 Allison Transmission Holdings Inc ,0.1,0.0,0.0,na,na,ALSN,na,1.398821,1.66,6.8187375
 Ambev SA ,0.31,0.0,1.0,Brazil,na,ABEV,na,0.710661,2.28,11.363636
 Amdocs Ltd ,0.48,0.0,1.0,United States of America (USA),DOX,na,na,0.605762,1.41,17.155936999999998
 Ameren Corp ,0.28,0.0,0.0,na,na,AEE,na,0.347085,3.1,21.98209
 American Airlines Group Inc ,0.3,0.0,0.0,na,AAL,na,na,2.041912,1.1,2.7203166000000003
 American Campus Communities Inc ,0.1,0.0,0.0,na,na,ACC,na,0.8945639999999999,3.95,30.772398
 American Eagle Outfitters Inc ,0.1,0.0,1.0,United States of America (USA),na,AEO,na,1.287491,3.16,6.098214
 American Express Co ,0.36,0.0,0.0,na,na,AXP,na,1.209561,1.49,12.542603
 American Tower Corp ,0.18,0.0,0.0,na,na,AMT,na,0.40144,1.79,57.69104
 American Water Works Co Inc ,0.45,0.0,0.0,na,na,AWK,na,0.250163,1.92,36.446064
 Ameriprise Financial Inc ,0.25,0.0,0.0,na,na,AMP,na,1.899803,2.5,7.7212644
 Amgen Inc ,0.57,0.0,0.0,na,AMGN,na,na,0.904387,2.49,18.344720000000002
 Amphenol Corp ,0.13,0.0,0.0,na,na,APH,na,1.1781270000000001,0.91,23.473167
 Anheuser-Busch InBev SA/NV ,0.31,0.0,0.0,na,na,BUD,na,1.111246,3.44,9.253698
 Aon PLC ,0.2,0.0,0.0,na,na,AON,na,0.931892,1.05,27.574614
 Apple Inc ,0.29,0.0,0.0,na,AAPL,na,na,1.173542,1.6,22.466852
 Aptiv PLC ,0.49,1.0,0.0,na,na,APTV,na,2.071381,1.29,16.296104
 Aramark ,0.13,0.0,0.0,na,na,ARMK,na,1.479371,1.12,18.092782999999997
 Archer-Daniels-Midland Co ,0.66,0.0,0.0,na,na,ADM,na,1.032743,2.93,14.75
 Arthur J Gallagher & Co ,0.24,0.0,0.0,na,na,AJG,na,0.8664040000000001,2.59,21.386364
 AstraZeneca PLC ,0.81,0.0,1.0,United Kingdom (UK),na,AZN,AZN,0.21519699999999997,4.03,99.76608
 Automatic Data Processing Inc ,0.26,0.0,0.0,na,ADP,na,na,0.905697,2.1,24.594595
 Avery Dennison Corp ,0.18,0.0,0.0,na,na,AVY,na,1.313032,1.97,30.403361999999998
 Ball Corp ,0.74,1.0,1.0,United States of America (USA),na,BLL,na,0.571054,0.79,39.319275
 Banco Santander Brasil SA ,0.29,0.0,0.0,na,na,BSBR,na,0.954022,3.34,5.2272725
 Banco Santander Chile ,0.67,0.0,0.0,na,na,BSAC,na,0.37059,4.88,6.995
 Bank of Nova Scotia ,0.74,0.0,0.0,na,na,BNS,na,1.056478,4.39,7.379001
 Bank OZK ,0.12,0.0,0.0,na,OZK,na,na,1.872953,1.98,7.861685299999999
 Barrick Gold Corp ,0.79,0.0,0.0,na,GOLD,GOLD,na,-0.018272,1.04,12.001772
 Best Buy Co Inc ,0.53,0.0,1.0,United States of America (USA),na,BBY,na,1.29666,2.53,12.500869
 Bio-Techne Corp ,0.17,0.0,0.0,na,TECH,na,na,1.053045,1.0,40.55656
 Booz Allen Hamilton Holding Corp ,0.27,0.0,0.0,na,na,BAH,na,0.8539620000000001,1.65,24.8233
 BorgWarner Inc ,0.33,0.0,0.0,na,na,BWA,na,1.7498360000000002,1.46,7.501385000000001
 BP PLC ,0.49,0.0,0.0,na,na,BP,na,0.6984800000000001,6.52,19.788492
 British American Tobacco PLC ,0.83,0.0,1.0,United Kingdom (UK),na,BTI,na,0.639513,4.64,1.6767466999999998
 Broadridge Financial Solutions Inc ,0.19,0.0,0.0,na,na,BR,na,0.7675179999999999,1.71,31.119799
 Brookfield Asset Management Inc ,0.16,0.0,0.0,na,na,BAM,na,1.134551,1.38,18.390076
 Cabot Corp ,0.55,0.0,0.0,na,na,CBT,na,1.6601169999999998,2.45,13.936464
 CAE Inc ,0.25,0.0,0.0,na,na,CAE,na,1.875415,1.57,13.94
 Campbell Soup Co ,0.64,0.0,0.0,na,na,CPB,na,0.36935100000000004,2.87,10.592778
 Canadian Imperial Bank of Commerce ,0.66,0.0,0.0,na,na,CM,na,1.088039,4.77,6.39187
 Canadian Pacific Railway Ltd ,0.36,1.0,1.0,Canada,na,CP,na,0.9061459999999999,0.9,18.299887
 Cantel Medical Corp ,0.1,0.0,0.0,na,na,CMD,na,1.322855,0.2,55.778687
 Carlsberg A/S ,0.27,0.0,1.0,Denmark,na,na,CARL-B.CO,0.727051,1.72,18.603687
 Carnival Corp ,0.54,0.0,0.0,na,na,CUK,na,1.9816630000000002,3.17,3.9566498
 Castellum AB ,0.79,0.0,1.0,Sweden,na,na,CAST.ST,0.527659,3.18,9.348804
 CDW Corp/DE ,0.11,0.0,0.0,na,CDW,na,na,1.199738,0.93,20.995993
 Celanese Corp ,0.19,0.0,0.0,na,na,CE,na,1.389652,1.88,11.515638000000001
 CF Industries Holdings Inc ,0.26,0.0,0.0,na,na,CF,na,1.231827,3.21,12.556054
 Chemed Corp ,0.08,0.0,0.0,na,na,CHE,na,0.8539620000000001,0.49,34.2577
 Chevron Corp ,0.4,0.0,0.0,na,na,CVX,na,1.182056,4.12,56.500004000000004
 China Life Insurance Co Ltd ,0.19,0.0,0.0,na,na,LFC,na,1.37386,1.89,15.503759
 China Petroleum & Chemical Corp ,0.29,0.0,0.0,na,na,SNP,na,1.310638,6.34,5.3516483
 China Southern Airlines Co Ltd ,0.14,0.0,0.0,na,na,ZNH,na,1.97082,1.58,10.72
 China Telecom Corp Ltd ,0.21,0.0,0.0,na,na,CHA,na,0.942857,2.86,9.622857000000002
 Chubb Ltd ,0.46,0.0,0.0,na,na,CB,na,0.8441379999999999,2.12,12.965225
 Chunghwa Telecom Co Ltd ,0.75,0.0,0.0,na,na,CHT,na,-0.013079,4.47,23.927630999999998
 Church & Dwight Co Inc ,0.24,0.0,0.0,na,na,CHD,na,0.246889,1.44,29.241802000000003
 Cigna Corp ,0.78,0.0,0.0,na,na,CI,na,0.660117,0.02,14.002976
 Cincinnati Financial Corp ,0.18,0.0,0.0,na,CINF,na,na,0.8258019999999999,2.68,6.4900823
 Cintas Corp ,0.12,0.0,0.0,na,CTAS,na,na,1.290111,1.0,22.711594
 CNH Industrial NV ,0.88,0.0,1.0,United Kingdom (UK),na,CNHI,na,1.583497,1.9,5.971429
 CNOOC Ltd ,0.28,0.0,0.0,na,na,CEO,na,1.266869,4.88,9.526087
 Coca-Cola European Partners PLC ,0.89,0.0,1.0,United Kingdom (UK),na,CCEP,na,0.574951,2.54,23.662551999999998
 Colgate-Palmolive Co ,0.82,0.0,0.0,na,na,CL,na,0.601833,2.32,25.963635999999997
 Comcast Corp ,0.48,0.0,0.0,na,CMCSA,CCZ,na,1.001309,1.74,13.130742000000001
 Comerica Inc ,0.37,0.0,0.0,na,na,CMA,na,1.8919439999999998,2.19,5.9699
 ConocoPhillips ,0.67,0.0,0.0,na,na,COP,na,1.493778,3.02,5.6390624
 Consolidated Edison Inc ,0.18,0.0,0.0,na,na,ED,na,0.274394,3.5700000000000003,20.254901999999998
 Corning Inc ,0.13,0.0,1.0,United States of America (USA),na,GLW,na,1.183366,2.36,19.45693
 Costco Wholesale Corp ,0.18,0.0,0.0,na,COST,na,na,0.747871,1.01,36.453808
 Cousins Properties Inc ,0.11,0.0,0.0,na,na,CUZ,na,1.13032,3.07,23.747870000000002
 Crane Co ,0.11,0.0,0.0,na,na,CR,na,1.626719,1.95,23.181818
 Credicorp Ltd ,0.45,0.0,0.0,na,na,BAP,na,0.8912899999999999,2.02,11.665363000000001
 CRH PLC ,0.8,0.0,1.0,Ireland,na,CRH,na,0.930091,2.34,6.865779400000001
 CSX Corp ,0.6,1.0,1.0,United States of America (USA),CSX,na,na,1.2390299999999999,1.74,15.370906
 CubeSmart ,0.08,0.0,0.0,na,na,CUBE,na,0.389652,3.46,28.727273999999998
 Cummins Inc ,0.75,0.0,1.0,United States of America (USA),na,CMI,na,1.070072,2.92,10.205111500000001
 Curtiss-Wright Corp ,0.09,0.0,0.0,na,na,CW,na,1.35036,0.5700000000000001,13.213985999999998
