,Company,ESG score,Clean200,ScienceBasedTargets,Country,Symbol NQ,Symbol NYSE,Symbol NQ North
0, ABB Ltd ,44,1.0,1.0,Switzerland,na,ABB,ABB
1, Accenture PLC ,54,1.0,1.0,Ireland,na,ACN,na
2, Advanced Micro Devices Inc ,32,0.0,1.0,United States of America (USA),AMD,na,na
3, AECOM ,18,0.0,1.0,United States of America (USA),na,ACM,na
4, Ambev SA ,31,0.0,1.0,Brazil,na,ABEV,na
5, Amdocs Ltd ,48,0.0,1.0,United States of America (USA),DOX,na,na
6, American Eagle Outfitters Inc ,10,0.0,1.0,United States of America (USA),na,AEO,na
7, AstraZeneca PLC ,81,0.0,1.0,United Kingdom (UK),na,AZN,AZN
8, AT&T Inc ,72,0.0,1.0,United States of America (USA),na,TBC,na
9, Ball Corp ,74,1.0,1.0,United States of America (USA),na,BLL,na
10, Bancolombia SA ,85,0.0,1.0,Colombia,na,CIB,na
11, Best Buy Co Inc ,53,0.0,1.0,United States of America (USA),na,BBY,na
12, Biogen Inc ,83,0.0,1.0,United States of America (USA),BIIB,na,na
13, British American Tobacco PLC ,83,0.0,1.0,United Kingdom (UK),na,BTI,na
14, Caesars Entertainment Corp ,53,0.0,1.0,United States of America (USA),CZR,na,na
15, Canadian National Railway Co ,74,1.0,1.0,Canada,na,CNI,na
16, Canadian Pacific Railway Ltd ,36,1.0,1.0,Canada,na,CP,na
17, Carlsberg A/S ,27,0.0,1.0,Denmark,na,na,CARL B
18, Castellum AB ,79,0.0,1.0,Sweden,na,na,CAST
19, CNH Industrial NV ,88,0.0,1.0,United Kingdom (UK),na,CNHI,na
20, Coca-Cola European Partners PLC ,89,0.0,1.0,United Kingdom (UK),na,CCEP,na
21, Corning Inc ,13,0.0,1.0,United States of America (USA),na,GLW,na
22, CRH PLC ,80,0.0,1.0,Ireland,na,CRH,na
23, CSX Corp ,60,1.0,1.0,United States of America (USA),CSX,na,na
24, Cummins Inc ,75,0.0,1.0,United States of America (USA),na,CMI,na
25, CVS Health Corp ,72,0.0,1.0,United States of America (USA),na,CVS,na
26, Dell Technologies Inc ,32,0.0,1.0,United States of America (USA),na,DELL,na
27, Diageo PLC ,86,0.0,1.0,United Kingdom (UK),na,DEO,na
28, DSV PANALPINA A/S ,29,0.0,1.0,Denmark,na,na,DSV
29, Ecolab Inc ,71,1.0,1.0,United States of America (USA),na,ECL,na
30, Electrolux AB ,67,1.0,1.0,Sweden,na,na,ELUX B
31, Elisa OYJ ,37,0.0,1.0,Finland,na,na,ELISA
32, EPR Properties ,6,0.0,1.0,South Africa,na,EPR^G,na
33, Essity AB ,80,0.0,1.0,Sweden,na,na,ESSITY B
34, Fabege AB ,27,0.0,1.0,Sweden,na,na,FABG
35, Fortum OYJ ,38,0.0,1.0,Finland,na,na,FORTUM
36, GlaxoSmithKline PLC ,90,0.0,1.0,United Kingdom (UK),na,GSK,na
37, Hennes & Mauritz AB ,69,0.0,1.0,Sweden,na,na,HM B
38, Hewlett Packard Enterprise Co ,90,1.0,1.0,United States of America (USA),na,HPE,na
39, HP Inc ,86,1.0,1.0,United States of America (USA),na,HPQ,na
40, Husqvarna AB ,28,0.0,1.0,Sweden,na,na,HUSQ B
41, ICA Gruppen AB ,66,0.0,1.0,Sweden,na,na,ICA
42, InterContinental Hotels Group PLC ,77,0.0,1.0,United Kingdom (UK),na,IHG,na
43, Intuit Inc ,27,0.0,1.0,United States of America (USA),INTU,na,na
44, Iron Mountain Inc ,52,0.0,1.0,United States of America (USA),na,IRM,na
45, Johnson Controls International plc ,67,1.0,1.0,Ireland,na,JCI,na
46, Kellogg Co ,74,0.0,1.0,United States of America (USA),na,K,na
47, Keurig Dr Pepper Inc ,37,0.0,1.0,United States of America (USA),na,KDP,na
48, Kimberly-Clark Corp ,31,1.0,1.0,United States of America (USA),na,KMB,na
49, Kone OYJ ,46,1.0,1.0,Finland,na,na,KNEBV
50, Kraft Heinz Co ,48,0.0,1.0,United States of America (USA),KHC,na,na
51, Las Vegas Sands Corp ,63,0.0,1.0,United States of America (USA),na,LVS,na
52, Latam Airlines Group SA ,75,0.0,1.0,Chile,na,LTM,na
53, Linde PLC ,86,0.0,1.0,United Kingdom (UK),na,LIN,na
54, Mastercard Inc ,58,0.0,1.0,United States of America (USA),na,MA,na
55, McCormick & Co Inc/MD ,57,0.0,1.0,United States of America (USA),na,MKC.V,na
56, Metso OYJ ,31,1.0,1.0,Finland,na,na,METSO
57, MGM Resorts International ,25,0.0,1.0,United States of America (USA),na,MGM,na
58, Microsoft Corp ,57,0.0,1.0,United States of America (USA),MSFT,na,na
59, Molson Coors Brewing Co ,66,0.0,1.0,United States of America (USA),na,TAP.A,na
60, National Grid PLC ,44,0.0,1.0,United Kingdom (UK),na,NGG,na
61, Neste Oyj ,83,0.0,1.0,Finland,na,na,NESTE
62, News Corp ,23,0.0,1.0,United States of America (USA),NWSA,na,na
63, Nokia OYJ ,40,1.0,1.0,Finland,na,NOK,NOKIA
64, Nomad Foods Ltd ,49,0.0,1.0,United Kingdom (UK),na,NOMD,na
65, Novartis AG ,74,0.0,1.0,Switzerland,na,NVS,na
66, Novo Nordisk A/S ,65,0.0,1.0,Denmark,na,NVO,NOVO B
67, Novozymes A/S ,42,0.0,1.0,Denmark,na,na,NZYM B
68, Orange SA ,43,0.0,1.0,France,na,ORAN,na
69, Outokumpu Oyj ,57,0.0,1.0,Finland,na,na,OUT1V
70, Owens Corning ,90,0.0,1.0,United States of America (USA),na,OC,na
71, Pandora A/S ,19,0.0,1.0,Denmark,na,na,PNDORA
72, Philip Morris International Inc ,69,0.0,1.0,United States of America (USA),na,PM,na
73, Principal Financial Group Inc ,30,0.0,1.0,United States of America (USA),PFG,na,na
74, Procter & Gamble Co ,60,0.0,1.0,United States of America (USA),na,PG,na
75, PVH Corp ,36,0.0,1.0,United States of America (USA),na,PVH,na
76, Sanofi ,82,0.0,1.0,France,SNY,na,na
77, SAP SE ,69,1.0,1.0,Germany,na,SAP,na
78, Schlumberger Ltd ,59,0.0,1.0,United States of America (USA),na,SLB,na
79, Seagate Technology PLC ,32,0.0,1.0,Ireland,STX,na,na
80, SK Telecom Co Ltd ,84,0.0,1.0,South Korea,na,SKM,na
81, Skanska AB ,38,1.0,1.0,Sweden,na,na,SKA B
82, Stanley Black & Decker Inc ,85,0.0,1.0,United States of America (USA),na,SWT,na
83, Stora Enso OYJ ,37,0.0,1.0,Finland,na,na,STERV
84, Swedish Match AB ,32,0.0,1.0,Sweden,na,na,SWMA
85, Taiwan Semiconductor Manufacturing Co Ltd ,87,1.0,1.0,"Taiwan, Province of China",na,TSM,na
86, Target Corp ,41,0.0,1.0,United States of America (USA),na,TGT,na
87, Tele2 AB ,38,0.0,1.0,Sweden,na,na,TEL2 B
88, Thomson Reuters Corp ,26,0.0,1.0,Canada,na,TRI,na
89, Unilever NV ,90,0.0,1.0,United Kingdom (UK),na,UL,na
90, Union Pacific Corp ,28,0.0,1.0,United States of America (USA),na,UNP,na
91, UPM-Kymmene OYJ ,89,0.0,1.0,Finland,na,na,UPM
92, Valmet OYJ ,82,0.0,1.0,Finland,na,na,VALMT
93, Westpac Banking Corp ,83,0.0,1.0,Australia,na,WBK,na
94, Whirlpool Corp ,57,0.0,1.0,United States of America (USA),na,WHR,na
95, Wipro Ltd ,80,0.0,1.0,India,na,WIT,na
96, Wyndham Hotels & Resorts Inc ,18,0.0,1.0,United States of America (USA),na,WH,na
