,Unnamed: 0,Company,ESG score,Clean200,ScienceBasedTargets,Country,Symbol NQ,Symbol NYSE,Symbol NQ North,Beta,Dividend yield,P/E
0,0, ABB Ltd ,44,1.0,1.0,Switzerland,na,ABB,ABB,1.149544,3.02,25.985073
1,1, Accenture PLC ,54,1.0,1.0,Ireland,na,ACN,na,1.037328,1.79,22.891064
4,4, Ambev SA ,31,0.0,1.0,Brazil,na,ABEV,na,0.710661,2.2800000000000002,11.363636
5,5, Amdocs Ltd ,48,0.0,1.0,United States of America (USA),DOX,na,na,0.605762,1.4100000000000001,17.155937
6,6, American Eagle Outfitters Inc ,10,0.0,1.0,United States of America (USA),na,AEO,na,1.287491,3.16,6.098214
7,7, AstraZeneca PLC ,81,0.0,1.0,United Kingdom (UK),na,AZN,AZN,0.215197,4.03,99.76608
9,9, Ball Corp ,74,1.0,1.0,United States of America (USA),na,BLL,na,0.571054,0.79,39.319275
11,11, Best Buy Co Inc ,53,0.0,1.0,United States of America (USA),na,BBY,na,1.2966600000000001,2.5300000000000002,12.500869
13,13, British American Tobacco PLC ,83,0.0,1.0,United Kingdom (UK),na,BTI,na,0.639513,4.64,1.6767466999999998
15,15, Canadian National Railway Co ,74,1.0,1.0,Canada,na,CNI,na,0.646179,1.6400000000000001,13.436064
16,16, Canadian Pacific Railway Ltd ,36,1.0,1.0,Canada,na,CP,na,0.906146,0.9,18.299887
17,17, Carlsberg A/S ,27,0.0,1.0,Denmark,na,na,CARL-B.CO,0.727051,1.72,18.603687
18,18, Castellum AB ,79,0.0,1.0,Sweden,na,na,CAST.ST,0.527659,3.18,9.348804
19,19, CNH Industrial NV ,88,0.0,1.0,United Kingdom (UK),na,CNHI,na,1.583497,1.9,5.971429
20,20, Coca-Cola European Partners PLC ,89,0.0,1.0,United Kingdom (UK),na,CCEP,na,0.574951,2.54,23.662552
21,21, Corning Inc ,13,0.0,1.0,United States of America (USA),na,GLW,na,1.183366,2.36,19.45693
22,22, CRH PLC ,80,0.0,1.0,Ireland,na,CRH,na,0.930091,2.34,6.8657794
23,23, CSX Corp ,60,1.0,1.0,United States of America (USA),CSX,na,na,1.23903,1.74,15.370906
24,24, Cummins Inc ,75,0.0,1.0,United States of America (USA),na,CMI,na,1.070072,2.92,10.2051115
25,25, CVS Health Corp ,72,0.0,1.0,United States of America (USA),na,CVS,na,0.766208,2.43,12.265748
27,27, Diageo PLC ,86,0.0,1.0,United Kingdom (UK),na,DEO,na,0.289969,2.6,20.77764
28,28, DSV PANALPINA A/S ,29,0.0,1.0,Denmark,na,na,DSV.CO,0.832218,0.46,35.869564
29,29, Ecolab Inc ,71,1.0,1.0,United States of America (USA),na,ECL,na,0.842174,1.1,33.786118
30,30, Electrolux AB ,67,1.0,1.0,Sweden,na,na,ELUX-B.ST,1.339817,2.9699999999999998,14.627966
31,31, Elisa OYJ ,37,0.0,1.0,Finland,na,na,ELISA.HE,0.182978,4.23,28.69877
34,34, Fabege AB ,27,0.0,1.0,Sweden,na,na,FABG.ST,0.5392089999999999,2.21,5.849861
35,35, Fortum OYJ ,38,0.0,1.0,Finland,na,na,FORTUM.HE,0.966565,6.68,8.908873
